city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Charleston,270.37,8.05,67.23,0.97,4.7,5.52,75.0
Inglewood,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Denton,277.04,5.48,85.12,1.8,23.14,43.35,125.0
Redding,243.66,1.56,76.53,0.17,0.5,0.74,103.0
Pasadena,253.68,7.54,77.96,1.73,1.82,5.14,107.0
Davie,263.69,10.8,81.54,2.74,6.6,9.6,116.0
Centennial,233.65,8.05,61.51,2.03,0.98,1.37,57.0
Kissimmee,287.06,21.76,65.8,2.06,3.22,4.74,71.0
Rancho Cordova,367.17,16.97,42.2,3.58,4.07,5.34,35.0
Toms River,290.39,6.51,73.67,1.82,2.01,2.76,95.0
San Juan,226.97,0.21,55.08,0.2,1.79,2.67,46.0
McAllen,250.34,2.46,88.69,1.94,16.86,32.81,134.0
Gilbert,280.38,4.41,95.84,1.25,5.4,12.31,152.0
Muncie,310.42,8.74,64.37,0.97,4.93,5.54,66.0
Bossier City,233.65,3.43,73.67,0.66,3.28,4.28,95.0
Garden Grove,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Lauderhill,263.69,10.8,81.54,2.74,6.6,9.6,116.0
Modesto,263.69,4.37,65.09,0.81,1.25,2.18,69.0
Missouri City,243.66,7.37,80.11,5.96,5.26,12.29,112.0
Salinas,287.06,7.63,73.67,1.0,2.94,5.63,95.0
Oakland,280.38,10.37,70.81,3.49,1.92,3.35,86.0
Redondo Beach,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Iowa City,433.92,22.28,38.98,0.52,14.81,16.65,48.0
San Mateo,257.02,6.68,73.67,1.89,1.38,2.43,95.0
Buena Park,554.09,52.09,50.07,13.11,20.99,27.83,65.0
Saint Paul,317.1,16.62,34.69,2.8,2.85,3.8,29.0
South San Francisco,230.31,0.84,80.82,0.22,0.5,0.9,114.0
Decatur,293.73,6.94,69.38,1.82,5.47,6.14,82.0
Guaynabo,226.97,0.17,39.34,0.14,0.83,1.59,33.0
Milpitas,357.15,23.99,61.51,6.56,8.82,13.03,57.0
Marysville,257.02,3.47,77.25,1.22,0.5,0.76,105.0
Lubbock,200.27,0.42,91.55,0.45,9.07,55.25,141.0
Athens-Clarke County unified government,307.08,12.0,60.8,2.06,10.64,17.41,55.0
Laguna Niguel,283.72,11.48,87.26,5.19,2.19,4.27,130.0
Washington,333.79,17.82,58.65,2.06,4.46,6.5,49.0
Bridgeport,340.46,22.96,45.78,5.01,4.73,6.87,38.0
North Richland Hills,270.37,4.24,83.69,1.36,21.63,41.14,121.0
Pittsburg,277.04,13.54,62.23,7.75,2.27,3.25,60.0
Rio Rancho,220.3,0.95,94.41,0.79,2.04,2.58,148.0
Indio,236.99,0.72,104.43,0.06,1.48,8.6,173.0
Thousand Oaks,257.02,3.3,85.83,0.6,1.6,2.34,127.0
Little Rock,250.34,8.05,62.23,6.32,7.62,18.11,60.0
Newport Beach,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Kenosha,330.45,14.57,43.27,1.19,5.12,6.68,36.0
Baldwin Park,257.02,6.17,83.69,1.97,2.73,5.07,121.0
Gary,410.56,40.1,35.05,15.02,11.32,16.22,50.0
Paradise,216.96,2.66,86.55,0.62,0.61,2.62,128.0
German,270.37,3.9,66.52,0.63,8.28,10.47,73.0
Rochester,287.06,9.0,61.51,1.12,0.96,1.19,57.0
Cedar Park,233.65,1.07,89.41,2.21,17.79,37.46,136.0
San Ramon,260.35,5.74,33.26,0.08,4.07,5.01,28.0
New Rochelle,417.23,50.72,22.53,10.01,8.19,12.52,63.0
Metairie,250.34,6.17,90.12,2.09,4.26,10.65,137.0
Bay,423.91,18.68,30.4,4.41,27.26,28.69,73.0
New Bedford,323.77,20.22,53.64,3.46,3.97,5.8,45.0
Dearborn,330.45,18.85,42.56,2.18,3.39,4.17,36.0
Alhambra,253.68,7.54,77.96,1.73,1.82,5.14,107.0
Baltimore,303.75,10.45,68.67,1.88,3.41,5.29,80.0
Merced,273.71,5.01,62.23,0.71,1.69,2.52,60.0
Westminster,257.02,12.68,62.94,4.77,2.34,7.92,62.0
Skokie,400.54,31.87,39.34,3.04,9.43,11.85,39.0
Port Saint Lucie,243.66,2.83,85.83,0.44,2.66,4.6,127.0
Vacaville,250.34,3.3,70.1,0.31,0.99,1.56,84.0
Oklahoma City,280.38,6.86,75.82,0.97,8.85,25.07,102.0
Sugar Land,230.31,1.37,82.25,0.38,4.77,12.13,118.0
Lynwood,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Largo,290.39,13.37,65.09,1.74,4.69,7.02,69.0
Milwaukee,453.95,37.7,14.84,1.03,8.93,11.66,47.0
Greeley,220.3,0.98,60.08,0.27,0.5,0.6,53.0
Bethlehem,240.33,9.17,57.22,3.93,1.44,2.1,48.0
Meridian,223.64,1.24,78.68,0.37,3.35,8.32,109.0
Oshkosh,323.77,16.28,48.64,0.26,2.69,3.46,41.0
Apple Valley,270.37,5.66,46.49,0.54,1.25,1.76,39.0
Nampa,226.97,1.48,72.96,0.06,0.5,0.83,93.0
Cary,293.73,10.11,50.78,3.22,5.69,7.57,43.0
Rockville,307.08,12.17,63.66,1.8,3.67,5.14,64.0
Portland,236.99,1.91,78.68,0.25,0.5,0.76,109.0
Orlando,290.39,26.39,60.08,1.71,3.31,4.95,53.0
Folsom,343.8,12.0,45.78,1.86,3.79,6.04,38.0
Pawtucket,323.77,14.91,50.78,1.04,2.08,3.29,43.0
Augusta-Richmond County consolidated government,,,,,,,
Chandler,267.03,3.64,97.28,1.03,4.97,14.22,155.0
Albany,500.68,47.3,8.94,1.0,6.96,9.67,59.0
Bayamón,226.97,0.17,39.34,0.14,0.83,1.59,33.0
Salem,230.31,0.44,78.68,0.03,0.5,0.74,109.0
Franklin,250.34,3.13,77.25,0.97,5.51,8.02,105.0
Mayagüez,226.97,0.17,36.48,0.18,0.82,1.32,30.0
Anaheim,554.09,52.09,50.07,13.11,20.99,27.83,65.0
Boynton Beach,250.34,4.8,92.98,0.93,4.17,8.79,144.0
Citrus Heights,287.06,5.57,54.36,0.44,1.34,2.56,46.0
Lawrence,,,,,,,
Charlotte,,,,,,,
Chattanooga,250.34,5.57,68.67,2.44,6.82,11.82,80.0
Roanoke,253.68,5.4,72.24,0.87,3.42,4.7,91.0
Chicago,520.71,50.04,22.53,6.26,15.68,20.39,62.0
